desem,infla,cetes91,pesopromedio,D1989,t
.03,21.56,18.78,.02,0,1980m2
.03,22.6,19.46,.02,0,1980m3
.56,23.45,21.52,.02,0,1980m4
.92,24.49,22.44,.02,0,1980m5
.66,24.89,22.43,.02,0,1980m6
.2,25.97,21.63,.02,0,1980m7
.49,27.94,20.97,.02,0,1980m8
.77,28.64,21.54,.02,0,1980m9
.39,28.49,23.47,.02,0,1980m10
.81,28.2,24.82,.02,0,1980m11
.27,28.77,25.94,.02,0,1980m12
.83,29.85,27.94,.02,0,1981m1
.35,27.8,28.94,.02,0,1981m2
.26,27.98,28.82,.02,0,1981m3
.46,28.08,28.63,.02,0,1981m4
.54,28.72,28.4,.02,0,1981m5
.19,28.57,28.12,.02,0,1981m6
.56,27.83,28.36,.02,0,1981m7
.47,26.55,30.78,.02,0,1981m8
.55,26.54,33.65,.02,0,1981m9
0,27.47,33.93,.03,0,1981m10
-.16,28.36,33.82,.03,0,1981m11
.17,28.6,33.4,.03,0,1981m12
-.3,28.68,33.34,.03,0,1982m1
-.05,30.86,34.2,.03,0,1982m2
.3,32.74,36.03,.03,0,1982m3
-.4,34.71,35.28,.05,0,1982m4
-.76,38.88,37.69,.05,0,1982m5
-.28,44.5,42.83,.05,0,1982m6
-.29,49.37,50.59,.05,0,1982m7
-1.33,54.35,53.07,.05,0,1982m8
-1.34,68.21,55.86,.07,0,1982m9
-1.3,73.95,50.67,.07,0,1982m10
-.96,79,43.01,.07,0,1982m11
-1.98,84.49,51.68,.07,0,1982m12
-.61,98.84,57.86,.08,0,1983m1
-1.22,110.04,59.86,.1,0,1983m2
-1.27,112.95,61.49,.1,0,1983m3
-.88,115.39,64.81,.11,0,1983m4
-.13,117.25,63.05,.11,0,1983m5
-.43,114.61,63.4,.11,0,1983m6
-.31,112.5,62.68,.12,0,1983m7
-.57,112.08,61.16,.12,0,1983m8
-.09,98.08,57.97,.13,0,1983m9
-.3,93.83,56.3,.13,0,1983m10
-.29,90.39,54.72,.13,0,1983m11
-.5,91.87,54.06,.14,0,1983m12
.09,80.78,53.95,.14,0,1984m1
.24,73.4,53.21,.15,0,1984m2
-.1,73.25,50.92,.15,0,1984m3
-.38,72.31,46.2,.15,0,1984m4
-.23,69.06,46.93,.16,0,1984m5
-.12,67.41,50.4,.16,0,1984m6
.48,67.14,51.16,.17,0,1984m7
.82,64.49,51.15,.17,0,1984m8
.15,62.84,50.73,.17,0,1984m9
.65,62.68,49.92,.18,0,1984m10
.25,62.96,47.97,.18,0,1984m11
.42,59.2,47.94,.19,0,1984m12
.02,59.16,49.32,.19,0,1985m1
-.43,60.75,48.33,.2,0,1985m2
.74,59.04,49.66,.2,0,1985m3
.57,58.43,57.58,.21,0,1985m4
.01,56.53,59.3,.21,0,1985m5
-.22,55.1,59.95,.22,0,1985m6
.4,53.43,64.67,.23,0,1985m7
.16,53.73,70.91,.24,0,1985m8
-.05,56.02,73.91,.29,0,1985m9
.41,57.55,69.48,.3,0,1985m10
-.5,58.02,66.6,.31,0,1985m11
-.5,59.82,69.1,.33,0,1985m12
-.82,63.75,74.8,.35,0,1986m1
.64,65.92,75.3,.39,0,1986m2
.19,66.38,76.48,.42,0,1986m3
-.4,67.62,79.38,.46,0,1986m4
-.17,71.11,80.86,.49,0,1986m5
-.76,76.44,81.01,.52,0,1986m6
-3.08,83.17,85.88,.55,0,1986m7
-.94,85.84,90.5,.6,0,1986m8
-.72,92.25,,.66,0,1986m9
-.93,95.96,,.72,0,1986m10
-.68,99.58,108.08,.78,0,1986m11
.05,103.67,104.15,.83,0,1986m12
-.02,105.75,105.48,.89,0,1987m1
-1.64,104.34,104.96,.95,0,1987m2
.08,109.76,104.97,1.02,0,1987m3
.31,113.69,101.81,1.09,0,1987m4
.21,120.86,99.55,1.16,0,1987m5
.59,125,98.44,1.23,0,1987m6
.76,126.73,98.37,1.31,0,1987m7
.15,133.44,96.14,1.38,0,1987m8
.06,133.88,95.9,1.45,0,1987m9
.07,135.18,95.43,1.53,0,1987m10
-.14,141,96.46,1.61,0,1987m11
.34,143.65,110.82,1.7,0,1987m12
-.01,159.17,131.1,2.01,0,1988m1
-.93,176.83,157.63,2.21,0,1988m2
.09,179.73,153.92,2.25,0,1988m3
-.35,175.83,77.77,2.28,0,1988m4
-.15,161.44,53.82,2.28,0,1988m5
-.07,147.82,46.24,2.28,0,1988m6
-.1,135.81,33.1,2.28,0,1988m7
-.11,121.79,32.45,2.28,0,1988m8
.51,106.92,32.45,2.28,0,1988m9
-.29,95.24,32.45,2.28,0,1988m10
.39,81.59,32.45,2.28,0,1988m11
.41,70.5,,2.28,0,1988m12
.1,51.66,51.47,2.28,1,1989m1
.55,34.56,50.66,2.3,1,1989m2
.22,25.89,49.4,2.32,1,1989m3
.29,21.05,48.81,2.35,1,1989m4
.08,19.2,51.55,2.39,1,1989m5
.34,18.54,53.83,2.42,1,1989m6
.54,17.58,54.99,2.45,1,1989m7
.54,16.81,36.42,2.48,1,1989m8
-.28,16.85,36.43,2.51,1,1989m9
.13,17.3,35.73,2.54,1,1989m10
-.33,18.13,39.18,2.57,1,1989m11
-.07,18.21,40.07,2.6,1,1989m12
-.56,19.7,40.19,2.63,0,1990m1
-.04,22.48,40.25,2.66,0,1990m2
.13,23.57,43.03,2.69,0,1990m3
.53,24.4,45.16,2.72,0,1990m4
-.25,24.43,44.32,2.75,0,1990m5
.26,24.89,38,2.78,0,1990m6
-.29,26.11,33.27,2.81,0,1990m7
.52,27.13,31.76,2.83,0,1990m8
.05,28.08,30.54,2.86,0,1990m9
-.35,28.68,31.54,2.88,0,1990m10
-.27,28.62,30.34,2.91,0,1990m11
-.45,30.21,26.29,2.93,0,1990m12
-.36,29.93,25.84,2.94,0,1991m1
.06,27.11,23.93,2.95,0,1991m2
-.06,26.46,23.33,2.97,0,1991m3
-.26,26.04,22.51,2.98,0,1991m4
-.2,25.45,21.43,2.99,0,1991m5
-.63,24.51,20.15,3,0,1991m6
0,23.1,18.53,3.01,0,1991m7
.31,21.97,18.64,3.03,0,1991m8
-.18,20.76,17.68,3.04,0,1991m9
.05,20.25,18.72,3.05,0,1991m10
.02,19.92,18.38,3.06,0,1991m11
-.51,19.72,17.24,3.07,0,1991m12
-1.13,18.79,17.33,3.07,0,1992m1
.06,17.95,15.84,3.07,0,1992m2
-.47,17.3,15.13,3.06,0,1992m3
-.33,16.82,11.73,3.07,0,1992m4
-.69,16.64,11.86,3.07,0,1992m5
-.26,16.28,13.1,3.1,0,1992m6
